1 0.00275493
2 0.00209904
4 0.00178599
8 0.00172281
16 0.00173998
1 0.00251007
2 0.001472
3 0.00111413
4 0.00154781
1 0.00252795
2 0.00146413
3 0.00186706
4 0.00094986
1 0.00251722
2 0.00146389
3 0.00157809
1 0.00282216
1 0.00244904
2 0.00148392
2 0.00141716
3 0.00155687
3 0.00116801
4 0.000941038
4 0.0016048
1 0.00248003
2 0.00220203
3 0.001616
4 0.00136495
1 0.00245905
1 0.00242305
2 0.00176811
2 0.00139809
3 0.00159407
3 0.00120807
4 0.0016129
4 0.00194001
1 0.00329995
2 0.00181198
3 0.0018189
4 0.00158501
1 0.0026021
2 0.00155497
3 0.00186706
4 0.00158286
1 0.00305891
2 0.00217986
3 0.00160909
4 0.00153494
1 0.00259113
2 0.002244
3 0.0017972
4 0.00157094
1 0.00255203
2 0.00159097
3 0.00172591
4 0.00157809
1 0.00278902
2 0.0015049
3 0.00159192
4 0.00155306
